DATE,CPALTT01USM657N
01/01/1960,-0.340136054
01/02/1960,0.341296928
01/03/1960,0
01/04/1960,0.340136054
01/05/1960,0
01/06/1960,0.338983051
01/07/1960,0
01/08/1960,0
01/09/1960,0
01/10/1960,0.675675676
01/11/1960,0
01/12/1960,0
01/01/1961,0
01/02/1961,0
01/03/1961,0
01/04/1961,0
01/05/1961,0
01/06/1961,0
01/07/1961,0.67114094
01/08/1961,-0.333333333
01/09/1961,0.334448161
01/10/1961,0
01/11/1961,0
01/12/1961,0
01/01/1962,0
01/02/1962,0.333333333
01/03/1962,0
01/04/1962,0.332225914
01/05/1962,0
01/06/1962,0
01/07/1962,0.331125828
01/08/1962,0
01/09/1962,0.330033003
01/10/1962,0
01/11/1962,0
01/12/1962,0
01/01/1963,0
01/02/1963,0
01/03/1963,0.328947368
01/04/1963,0
01/05/1963,0
01/06/1963,0.327868852
01/07/1963,0.326797386
01/08/1963,0
01/09/1963,0
01/10/1963,0.325732899
01/11/1963,0
01/12/1963,0.324675325
01/01/1964,0
01/02/1964,0
01/03/1964,0
01/04/1964,0
01/05/1964,0
01/06/1964,0.323624595
01/07/1964,0.322580645
01/08/1964,-0.321543408
01/09/1964,0.322580645
01/10/1964,0
01/11/1964,0.321543408
01/12/1964,0
01/01/1965,0
01/02/1965,0
01/03/1965,0.320512821
01/04/1965,0.319488818
01/05/1965,0
01/06/1965,0.636942675
01/07/1965,0
01/08/1965,0
01/09/1965,0
01/10/1965,0.316455696
01/11/1965,0
01/12/1965,0.315457413
01/01/1966,0
01/02/1966,0.628930818
01/03/1966,0.3125
01/04/1966,0.62305296
01/05/1966,0
01/06/1966,0.309597523
01/07/1966,0.308641975
01/08/1966,0.615384615
01/09/1966,0
01/10/1966,0.611620795
01/11/1966,0
01/12/1966,0
01/01/1967,0
01/02/1967,0
01/03/1967,0.303951368
01/04/1967,0.303030303
01/05/1967,0.302114804
01/06/1967,0.301204819
01/07/1967,0.3003003
01/08/1967,0.299401198
01/09/1967,0.298507463
01/10/1967,0.297619048
01/11/1967,0.296735905
01/12/1967,0.295857988
01/01/1968,0.589970501
01/02/1968,0.293255132
01/03/1968,0.292397661
01/04/1968,0.29154519
01/05/1968,0.290697674
